MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Satyanarayana Pithani,71,Achanta,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Satyanarayana Pithani.jpg,,,,,,,,
Gottipati Ravi Kumar,50,Addanki,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gottipati Ravi Kumar.jpg,,,,,,,,
Dr. Partha Sarathi Valmiki,53,Adoni,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dr. Partha Sarathi Valmiki.jpg,,,,,,,,
Akhila Priya Bhuma,36,Allagadda,Female,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Akhila Priya Bhuma.jpg,,,,,,,,
B. Virupakshi,55,Alur,Male,Yuvajana Sramika Rythu Congress Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,B. Virupakshi.jpg,,,,,,,,
Koona Ravi Kumar,55,Amadalavalasa,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Koona Ravi Kumar.jpg,,,,,,,,
Aithabathula Anandarao,55,Amalapuram,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Aithabathula Anandarao.jpg,,,,,,,,
Konathala Ramakrishna,67,Anakapalle,Male,Janasena Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Konathala Ramakrishna.jpg,,,,,,,,
Daggupati Prasad,48,Anantapur Urban,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Daggupati Prasad.jpg,,,,,,,,
Ramakrishna Reddy Nallamilli,53,Anaparthy,Male,Bharatiya Janata Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ramakrishna Reddy Nallamilli.jpg,,,,,,,,
Regam Matyalingam,57,Araku Valley,Male,Yuvajana Sramika Rythu Congress Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Regam Matyalingam.jpg,,,,,,,,
Anam Ramanarayana Reddy,71,Atmakur,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Anam Ramanarayana Reddy.jpg,,,,,,,,
Buddhaprasad Mandali,68,Avanigadda,Male,Janasena Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Buddhaprasad Mandali.jpg,,,,,,,,
Dasari Sudha,51,Badvel,Female,Yuvajana Sramika Rythu Congress Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dasari Sudha.jpg,,,,,,,,
B.C. Janardhan Reddy,64,Banaganapalle,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,B.C. Janardhan Reddy.jpg,,,,,,,,
Vegesana Narendra Varma Raju,55,Bapatla,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Vegesana Narendra Varma Raju.jpg,,,,,,,,
Ramanjaneyulu Pulaparthi (Anjibabu),69,Bhimavaram,Male,Janasena Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ramanjaneyulu Pulaparthi (Anjibabu).jpg,,,,,,,,
Ganta Srinivasa Rao,64,Bhimili,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ganta Srinivasa Rao.jpg,,,,,,,,
R.V.S.K.K.Ranga Rao @ Babynayana,43,Bobbili,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,R.V.S.K.K.Ranga Rao @ Babynayana.jpg,,,,,,,,
Venkata Mani Prasad Pullivarthi,52,Chandragiri,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Venkata Mani Prasad Pullivarthi.jpg,,,,,,,,
Kalavenkatarao Kimidi,71,Cheepurupalle,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kalavenkatarao Kimidi.jpg,,,,,,,,
Prathipati Pullarao,65,Chilakaluripet,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Prathipati Pullarao.jpg,,,,,,,,
Roshan Kumar Songa,44,Chintalapudi,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Roshan Kumar Songa.jpg,,,,,,,,
Madduluri Mala Kondaiah,63,Chirala,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Madduluri Mala Kondaiah.jpg,,,,,,,,
Gurajala Jagan Mohan (Gjm),41,Chittoor,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gurajala Jagan Mohan (Gjm).jpg,,,,,,,,
Surya Naga Sanyasi Raju Kalidindi,57,Chodavaram,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Surya Naga Sanyasi Raju Kalidindi.jpg,,,,,,,,
Buchepalli Siva Prasad Reddy,44,Darsi,Male,Yuvajana Sramika Rythu Congress Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Buchepalli Siva Prasad Reddy.jpg,,,,,,,,
